,Date,year,Month,Weak,Count
8552,2014-01-09,2014,1,Thursday,1
17976,2014-01-11,2014,1,Saturday,1
26982,2014-01-23,2014,1,Thursday,1
14717,2014-02-03,2014,2,Monday,1
23395,2014-02-12,2014,2,Wednesday,1
25248,2014-02-13,2014,2,Thursday,2
27643,2014-02-13,2014,2,Thursday,2
18165,2014-02-18,2014,2,Tuesday,1
24896,2014-02-22,2014,2,Saturday,1
11063,2014-03-03,2014,3,Monday,2
16940,2014-03-03,2014,3,Monday,2
30024,2014-03-04,2014,3,Tuesday,1
20013,2014-03-07,2014,3,Friday,1
15413,2014-03-17,2014,3,Monday,1
2212,2014-03-18,2014,3,Tuesday,1
16207,2014-03-19,2014,3,Wednesday,1
5330,2014-03-22,2014,3,Saturday,1
12950,2014-03-26,2014,3,Wednesday,1
11038,2014-03-29,2014,3,Saturday,1
26536,2014-04-15,2014,4,Tuesday,1
12706,2014-04-23,2014,4,Wednesday,2
23834,2014-04-23,2014,4,Wednesday,2
23512,2014-05-01,2014,5,Thursday,1
17493,2014-05-03,2014,5,Saturday,1
5386,2014-05-09,2014,5,Friday,3
10882,2014-05-09,2014,5,Friday,3
5642,2014-05-09,2014,5,Friday,3
26780,2014-05-14,2014,5,Wednesday,1
5363,2014-05-17,2014,5,Saturday,1
8694,2014-05-22,2014,5,Thursday,4
14724,2014-05-22,2014,5,Thursday,4
8441,2014-05-22,2014,5,Thursday,4
4103,2014-05-22,2014,5,Thursday,4
3329,2014-05-24,2014,5,Saturday,1
26619,2014-06-01,2014,6,Sunday,1
9801,2014-06-03,2014,6,Tuesday,2
27322,2014-06-03,2014,6,Tuesday,2
12978,2014-06-05,2014,6,Thursday,3
11523,2014-06-05,2014,6,Thursday,3
4180,2014-06-05,2014,6,Thursday,3
9533,2014-06-14,2014,6,Saturday,1
435,2014-06-18,2014,6,Wednesday,1
28627,2014-06-19,2014,6,Thursday,1
7479,2014-06-20,2014,6,Friday,16
7071,2014-06-20,2014,6,Friday,16
11462,2014-06-20,2014,6,Friday,16
26901,2014-06-20,2014,6,Friday,16
27891,2014-06-20,2014,6,Friday,16
13186,2014-06-20,2014,6,Friday,16
12944,2014-06-20,2014,6,Friday,16
8930,2014-06-20,2014,6,Friday,16
13560,2014-06-20,2014,6,Friday,16
5552,2014-06-20,2014,6,Friday,16
16724,2014-06-20,2014,6,Friday,16
11893,2014-06-20,2014,6,Friday,16
22297,2014-06-20,2014,6,Friday,16
4389,2014-06-20,2014,6,Friday,16
18070,2014-06-20,2014,6,Friday,16
25964,2014-06-20,2014,6,Friday,16
9484,2014-06-21,2014,6,Saturday,1
8976,2014-06-22,2014,6,Sunday,1
4742,2014-06-27,2014,6,Friday,3
26001,2014-06-27,2014,6,Friday,3
2880,2014-06-27,2014,6,Friday,3
24496,2014-06-28,2014,6,Saturday,9
18670,2014-06-28,2014,6,Saturday,9
9663,2014-06-28,2014,6,Saturday,9
31111,2014-06-28,2014,6,Saturday,9
24999,2014-06-28,2014,6,Saturday,9
21002,2014-06-28,2014,6,Saturday,9
8698,2014-06-28,2014,6,Saturday,9
9894,2014-06-28,2014,6,Saturday,9
11545,2014-06-28,2014,6,Saturday,9
25203,2014-06-29,2014,6,Sunday,2
5743,2014-06-29,2014,6,Sunday,2
17338,2014-06-30,2014,6,Monday,1
5020,2014-07-01,2014,7,Tuesday,3
11035,2014-07-01,2014,7,Tuesday,3
22217,2014-07-01,2014,7,Tuesday,3
28905,2014-07-03,2014,7,Thursday,1
10881,2014-07-06,2014,7,Sunday,1
26726,2014-07-08,2014,7,Tuesday,1
6478,2014-07-09,2014,7,Wednesday,1
24512,2014-07-13,2014,7,Sunday,2
3819,2014-07-13,2014,7,Sunday,2
18818,2014-07-15,2014,7,Tuesday,1
16210,2014-07-17,2014,7,Thursday,1
2875,2014-07-20,2014,7,Sunday,1
13268,2014-07-22,2014,7,Tuesday,1
640,2014-07-24,2014,7,Thursday,1
12360,2014-07-26,2014,7,Saturday,1
6270,2014-07-29,2014,7,Tuesday,1
12776,2014-07-30,2014,7,Wednesday,1
24924,2014-08-01,2014,8,Friday,1
10964,2014-08-03,2014,8,Sunday,1
19430,2014-08-04,2014,8,Monday,1
2901,2014-08-05,2014,8,Tuesday,1
11702,2014-08-07,2014,8,Thursday,1
13108,2014-08-08,2014,8,Friday,1
7233,2014-08-09,2014,8,Saturday,1
1555,2014-08-11,2014,8,Monday,2
7386,2014-08-11,2014,8,Monday,2
7715,2014-08-14,2014,8,Thursday,1
20472,2014-08-15,2014,8,Friday,1
11423,2014-08-16,2014,8,Saturday,1
8724,2014-08-17,2014,8,Sunday,2
8403,2014-08-17,2014,8,Sunday,2
30331,2014-08-18,2014,8,Monday,3
5960,2014-08-18,2014,8,Monday,3
