,Date,year,Month,Weak,Count
0,2015-09-14,2015,9,Monday,1
1,2015-10-16,2015,10,Friday,1
3,2018-02-19,2018,2,Monday,1
4,2016-12-17,2016,12,Saturday,1
5,2016-05-29,2016,5,Sunday,1
7,2018-05-01,2018,5,Tuesday,1
9,2017-03-21,2017,3,Tuesday,1
10,2017-11-30,2017,11,Thursday,1
12,2015-05-06,2015,5,Wednesday,1
13,2016-07-22,2016,7,Friday,1
14,2015-01-15,2015,1,Thursday,1
16,2016-10-01,2016,10,Saturday,1
17,2016-08-04,2016,8,Thursday,1
18,2016-01-25,2016,1,Monday,1
21,2017-01-08,2017,1,Sunday,1
23,2015-06-13,2015,6,Saturday,1
27,2015-09-26,2015,9,Saturday,1
28,2016-05-16,2016,5,Monday,1
30,2015-08-16,2015,8,Sunday,1
31,2017-02-12,2017,2,Sunday,1
32,2018-01-23,2018,1,Tuesday,1
33,2018-02-17,2018,2,Saturday,1
35,2016-05-31,2016,5,Tuesday,1
38,2016-04-14,2016,4,Thursday,1
39,2015-05-21,2015,5,Thursday,1
41,2015-06-29,2015,6,Monday,1
42,2017-08-02,2017,8,Wednesday,1
43,2016-06-21,2016,6,Tuesday,1
44,2017-12-08,2017,12,Friday,1
46,2015-11-30,2015,11,Monday,1
47,2016-04-11,2016,4,Monday,1
48,2017-06-18,2017,6,Sunday,1
50,2018-02-22,2018,2,Thursday,1
51,2015-11-16,2015,11,Monday,1
52,2015-08-01,2015,8,Saturday,1
54,2017-11-20,2017,11,Monday,1
56,2016-10-22,2016,10,Saturday,1
57,2016-07-26,2016,7,Tuesday,1
58,2015-08-01,2015,8,Saturday,1
59,2017-07-08,2017,7,Saturday,1
60,2015-07-26,2015,7,Sunday,1
61,2015-09-15,2015,9,Tuesday,1
62,2015-07-02,2015,7,Thursday,1
63,2015-08-06,2015,8,Thursday,1
64,2015-08-31,2015,8,Monday,1
66,2016-05-02,2016,5,Monday,1
67,2018-03-30,2018,3,Friday,1
71,2015-12-12,2015,12,Saturday,1
73,2016-11-18,2016,11,Friday,1
76,2017-09-25,2017,9,Monday,1
77,2017-10-11,2017,10,Wednesday,1
79,2016-12-04,2016,12,Sunday,1
80,2017-01-14,2017,1,Saturday,1
82,2017-09-21,2017,9,Thursday,1
83,2015-12-03,2015,12,Thursday,1
85,2017-05-30,2017,5,Tuesday,1
87,2015-12-24,2015,12,Thursday,1
88,2016-09-17,2016,9,Saturday,1
91,2017-09-26,2017,9,Tuesday,1
92,2017-07-09,2017,7,Sunday,1
93,2015-12-22,2015,12,Tuesday,1
94,2016-04-23,2016,4,Saturday,1
96,2015-06-08,2015,6,Monday,1
98,2017-11-04,2017,11,Saturday,1
99,2017-12-01,2017,12,Friday,1
101,2016-05-27,2016,5,Friday,1
102,2017-07-31,2017,7,Monday,1
103,2016-01-16,2016,1,Saturday,1
105,2016-03-20,2016,3,Sunday,1
107,2015-06-01,2015,6,Monday,1
109,2016-11-27,2016,11,Sunday,1
110,2017-04-01,2017,4,Saturday,1
111,2016-05-20,2016,5,Friday,1
112,2016-08-08,2016,8,Monday,1
113,2017-08-18,2017,8,Friday,1
114,2015-11-28,2015,11,Saturday,1
116,2017-10-20,2017,10,Friday,1
117,2015-03-15,2015,3,Sunday,1
118,2018-06-10,2018,6,Sunday,1
120,2017-07-06,2017,7,Thursday,1
121,2016-07-01,2016,7,Friday,1
123,2017-04-10,2017,4,Monday,1
