,Date,year,Month,Weak,Count
12836,2014-01-09,2014.0,1.0,Thursday,1
26944,2014-01-11,2014.0,1.0,Saturday,1
40564,2014-01-23,2014.0,1.0,Thursday,1
22031,2014-02-03,2014.0,2.0,Monday,1
35066,2014-02-12,2014.0,2.0,Wednesday,1
41543,2014-02-13,2014.0,2.0,Thursday,1
37921,2014-02-13,2014.0,2.0,Thursday,1
27206,2014-02-18,2014.0,2.0,Tuesday,1
37373,2014-02-22,2014.0,2.0,Saturday,1
25382,2014-03-03,2014.0,3.0,Monday,1
16547,2014-03-03,2014.0,3.0,Monday,1
45097,2014-03-04,2014.0,3.0,Tuesday,1
30020,2014-03-07,2014.0,3.0,Friday,1
23062,2014-03-17,2014.0,3.0,Monday,1
3283,2014-03-18,2014.0,3.0,Tuesday,1
24261,2014-03-19,2014.0,3.0,Wednesday,1
7949,2014-03-22,2014.0,3.0,Saturday,1
19412,2014-03-26,2014.0,3.0,Wednesday,1
16508,2014-03-29,2014.0,3.0,Saturday,1
39885,2014-04-15,2014.0,4.0,Tuesday,1
35751,2014-04-23,2014.0,4.0,Wednesday,1
19032,2014-04-23,2014.0,4.0,Wednesday,1
35256,2014-05-01,2014.0,5.0,Thursday,1
26240,2014-05-03,2014.0,5.0,Saturday,1
8435,2014-05-09,2014.0,5.0,Friday,1
8029,2014-05-09,2014.0,5.0,Friday,1
16287,2014-05-09,2014.0,5.0,Friday,1
40258,2014-05-14,2014.0,5.0,Wednesday,1
7997,2014-05-17,2014.0,5.0,Saturday,1
22041,2014-05-22,2014.0,5.0,Thursday,1
6110,2014-05-22,2014.0,5.0,Thursday,1
12667,2014-05-22,2014.0,5.0,Thursday,1
13055,2014-05-22,2014.0,5.0,Thursday,1
4953,2014-05-24,2014.0,5.0,Saturday,1
40008,2014-06-01,2014.0,6.0,Sunday,1
41090,2014-06-03,2014.0,6.0,Tuesday,1
14676,2014-06-03,2014.0,6.0,Tuesday,1
6229,2014-06-05,2014.0,6.0,Thursday,1
17213,2014-06-05,2014.0,6.0,Thursday,1
19459,2014-06-05,2014.0,6.0,Thursday,1
14278,2014-06-14,2014.0,6.0,Saturday,1
651,2014-06-18,2014.0,6.0,Wednesday,1
43000,2014-06-19,2014.0,6.0,Thursday,1
10537,2014-06-20,2014.0,6.0,Friday,1
27070,2014-06-20,2014.0,6.0,Friday,1
19760,2014-06-20,2014.0,6.0,Friday,1
19402,2014-06-20,2014.0,6.0,Friday,1
11154,2014-06-20,2014.0,6.0,Friday,1
39017,2014-06-20,2014.0,6.0,Friday,1
33416,2014-06-20,2014.0,6.0,Friday,1
17821,2014-06-20,2014.0,6.0,Friday,1
41915,2014-06-20,2014.0,6.0,Friday,1
17130,2014-06-20,2014.0,6.0,Friday,1
13384,2014-06-20,2014.0,6.0,Friday,1
8307,2014-06-20,2014.0,6.0,Friday,1
6541,2014-06-20,2014.0,6.0,Friday,1
25052,2014-06-20,2014.0,6.0,Friday,1
40445,2014-06-20,2014.0,6.0,Friday,1
20327,2014-06-20,2014.0,6.0,Friday,1
14206,2014-06-21,2014.0,6.0,Saturday,1
13454,2014-06-22,2014.0,6.0,Sunday,1
4281,2014-06-27,2014.0,6.0,Friday,1
7062,2014-06-27,2014.0,6.0,Friday,1
39071,2014-06-27,2014.0,6.0,Friday,1
37527,2014-06-28,2014.0,6.0,Saturday,1
31496,2014-06-28,2014.0,6.0,Saturday,1
27960,2014-06-28,2014.0,6.0,Saturday,1
13059,2014-06-28,2014.0,6.0,Saturday,1
14818,2014-06-28,2014.0,6.0,Saturday,1
36736,2014-06-28,2014.0,6.0,Saturday,1
14467,2014-06-28,2014.0,6.0,Saturday,1
17245,2014-06-28,2014.0,6.0,Saturday,1
46696,2014-06-28,2014.0,6.0,Saturday,1
37836,2014-06-29,2014.0,6.0,Sunday,1
8580,2014-06-29,2014.0,6.0,Sunday,1
25989,2014-06-30,2014.0,6.0,Monday,1
7474,2014-07-01,2014.0,7.0,Tuesday,1
33301,2014-07-01,2014.0,7.0,Tuesday,1
16504,2014-07-01,2014.0,7.0,Tuesday,1
43395,2014-07-03,2014.0,7.0,Thursday,1
16285,2014-07-06,2014.0,7.0,Sunday,1
40177,2014-07-08,2014.0,7.0,Tuesday,1
9645,2014-07-09,2014.0,7.0,Wednesday,1
5683,2014-07-13,2014.0,7.0,Sunday,1
36759,2014-07-13,2014.0,7.0,Sunday,1
28186,2014-07-15,2014.0,7.0,Tuesday,1
24266,2014-07-17,2014.0,7.0,Thursday,1
4276,2014-07-20,2014.0,7.0,Sunday,1
19888,2014-07-22,2014.0,7.0,Tuesday,1
955,2014-07-24,2014.0,7.0,Thursday,1
18528,2014-07-26,2014.0,7.0,Saturday,1
9333,2014-07-29,2014.0,7.0,Tuesday,1
19143,2014-07-30,2014.0,7.0,Wednesday,1
37417,2014-08-01,2014.0,8.0,Friday,1
16401,2014-08-03,2014.0,8.0,Sunday,1
29135,2014-08-04,2014.0,8.0,Monday,1
4312,2014-08-05,2014.0,8.0,Tuesday,1
17499,2014-08-07,2014.0,8.0,Thursday,1
19648,2014-08-08,2014.0,8.0,Friday,1
10778,2014-08-09,2014.0,8.0,Saturday,1
2330,2014-08-11,2014.0,8.0,Monday,1
11021,2014-08-11,2014.0,8.0,Monday,1
11517,2014-08-14,2014.0,8.0,Thursday,1
30712,2014-08-15,2014.0,8.0,Friday,1
17076,2014-08-16,2014.0,8.0,Saturday,1
12607,2014-08-17,2014.0,8.0,Sunday,1
13090,2014-08-17,2014.0,8.0,Sunday,1
45556,2014-08-18,2014.0,8.0,Monday,1
27780,2014-08-18,2014.0,8.0,Monday,1
8896,2014-08-18,2014.0,8.0,Monday,1
20313,2014-08-19,2014.0,8.0,Tuesday,1
29606,2014-08-20,2014.0,8.0,Wednesday,1
19659,2014-08-21,2014.0,8.0,Thursday,1
6075,2014-08-23,2014.0,8.0,Saturday,1
40122,2014-08-23,2014.0,8.0,Saturday,1
7923,2014-08-23,2014.0,8.0,Saturday,1
20755,2014-08-26,2014.0,8.0,Tuesday,1
28641,2014-08-27,2014.0,8.0,Wednesday,1
16407,2014-08-28,2014.0,8.0,Thursday,1
30594,2014-08-28,2014.0,8.0,Thursday,1
43550,2014-08-28,2014.0,8.0,Thursday,1
4300,2014-08-29,2014.0,8.0,Friday,1
41973,2014-08-29,2014.0,8.0,Friday,1
30433,2014-08-30,2014.0,8.0,Saturday,1
15065,2014-08-30,2014.0,8.0,Saturday,1
33965,2014-08-30,2014.0,8.0,Saturday,1
1161,2014-08-31,2014.0,8.0,Sunday,1
24592,2014-08-31,2014.0,8.0,Sunday,1
41468,2014-09-02,2014.0,9.0,Tuesday,1
5030,2014-09-02,2014.0,9.0,Tuesday,1
29318,2014-09-03,2014.0,9.0,Wednesday,1
36182,2014-09-04,2014.0,9.0,Thursday,1
11485,2014-09-04,2014.0,9.0,Thursday,1
10763,2014-09-05,2014.0,9.0,Friday,1
32467,2014-09-05,2014.0,9.0,Friday,1
19892,2014-09-06,2014.0,9.0,Saturday,1
22589,2014-09-06,2014.0,9.0,Saturday,1
16924,2014-09-06,2014.0,9.0,Saturday,1
